Time (s),Product Position,Actual Temperature
69,133.60763442774956,201.88507981023295
70,135.285074550447,200.11097222874503
71,137.4657723532012,198.33278985137414
72,140.23479063643418,196.56337047368248
73,142.2168776168792,194.81167446115617
74,144.9991994447862,193.0766687812458
75,145.68932689274132,191.37473736117005
76,148.10027814492892,189.6796132423497
77,150.143801679048,188.01095973998454
78,151.9942980038151,186.37328217203378
79,154.04017839208285,184.7676015965615
80,155.0463939347824,183.2552895081135
81,156.93655799086363,181.73345978936837
82,159.1151142766195,180.2647822024903
83,161.85406129899025,178.86224355069734
84,163.59492618985342,177.69966360759864
85,165.19067938840683,176.7365498626373
86,166.93980086661458,175.92091402544327
87,169.3975019254656,175.15235463614627
88,171.56187748029544,174.83214580427315
89,173.29699737841193,175.23026394103553
90,175.5536310949686,175.67502262405063
91,177.60216986964264,176.91158918334688
92,180.08649236490908,178.33757143609427
93,181.7354658179704,182.02979929858267
94,183.5716347446715,185.96494071891442
95,185.37558066810544,190.80881577167446
96,186.64382319403938,199.20516107410896
97,188.79188333257167,204.2233306200754
98,190.9224109686616,210.02996040474662
99,192.92496769698283,216.95159697088116
100,194.80767413029525,224.92250001554444
101,196.09998875927005,237.78216020869036
102,197.88966609788736,246.6666582365751
103,199.71830883962397,255.34619134014207
104,201.31717020501316,265.4592216171208
105,203.23652734918016,273.16767851628066
106,205.43855277758743,279.0837895166247
107,208.3816457281927,282.20686080166985
108,210.46893463460862,286.8832399818526
109,212.59770982997,290.5458782792845
110,214.56048687208693,293.85146049339215
111,215.6011012644374,301.58530238150956
112,217.5878443267128,303.429009442712
113,219.61795943168332,304.37283136179786
114,222.84958048792595,303.2210855776587
115,224.75340000553538,302.6735863960159
116,226.9041736767022,301.3833832075699
117,228.88681779184955,299.8361202981207
118,230.30247877303978,298.47437407904835
119,232.87389018029728,296.2253164259725
120,235.24985669664068,293.8536239732659
121,237.6453726701622,291.3702552276055
122,239.19067894276483,288.9483183225695
123,241.89207609823288,286.364289816057
124,243.19115056683674,283.85912588301863
125,245.48457911373688,281.28315153232535
126,248.57980692664188,278.7010419273016
127,250.08453876407654,276.1520449565078
128,251.80138989927516,273.61750790690894
129,253.851215581819,271.1009014686371
130,255.5994777547609,268.60744176077066
131,256.82414603922786,266.1388519536236
132,258.85842752663086,263.69143295981326
133,260.3272756697678,261.26818649424297
134,262.5640718850854,258.8680345666479
135,264.1043597679685,256.4917228485698
136,266.8793269704773,254.13875325513618
137,268.4877003243092,251.80943684274527
138,270.32666956620636,249.5037563332676
139,272.7334281748912,247.22262401228542
140,274.11799601667417,244.97063786955226
141,276.2317259839762,242.74880005001035
142,278.8852973611174,240.57606046035963
143,280.0815557438368,238.53946809230226
144,282.17387267310295,236.5641746258784
145,284.30381407022713,234.808956966893
146,286.6947255061158,233.3837747976561
147,288.07625015067674,233.0071153521801
148,289.4160218441346,233.32249646923273
149,291.67699262694305,233.4122765195755
150,293.82548496355963,234.46780699316963
151,295.95073138873255,236.32757037546463
152,298.12395549348105,238.617399853122
153,299.7839431326918,242.46345017508727
154,301.9000699812723,244.80795219675406
155,304.04660621792164,246.52607088335787
156,305.68943050890846,248.67591733130254
157,308.62231776448084,248.02173365783233
158,310.85923422493676,247.12760912509367
159,312.26358247633544,246.45023291644523
160,314.5918592806524,244.7078206871932
161,316.1045184455387,242.9661285522319
162,318.4980607474099,240.88400465645776
163,321.0773585369136,238.73178873680453
164,322.66701737773775,236.59229590275095
165,325.1487054423599,234.44438635179094
166,327.3550959058282,232.3131787408388
167,329.76612598582545,230.20121595761026
168,332.7145224771524,228.1097551945053
169,334.59182841915094,226.03906239452772
170,336.2149603369722,223.988951879561
171,337.77020312215944,221.9592319933645
172,339.3622979796767,219.94970523164224
173,341.32374712496966,217.96017261829942
174,343.49432311237797,215.99043601773457
175,345.632668512043,214.04029860001597
